RWS_DAU_10,RWS_10,DS_10,GS_10,SD_10,FF_10,DD_10,PP_10,TT_10,TM5_10,RF_10,load
0,0.0,0.0,0.0,0.0,9.7,1630,6169.2,-22.0,-41.6,521.4,318.3462014497846
0,0.0,0.0,0.0,0.0,12.8,1630,6168.4,-22.6,-40.0,520.4,547.9114082497885
0,0.0,0.0,0.0,0.0,10.4,1620,6168.799999999999,-23.2,-38.2,535.7,610.5875125750939
0,0.0,0.5,0.5,0.0,10.8,1620,6170.6,-20.6,-36.1,548.4,534.2051107995756
0,0.0,11.5,17.0,0.501,14.9,1720,6173.5,-15.1,-20.7,561.2,744.7446948753363
0,0.0,21.1,47.900000000000006,1.002,12.8,1670,6174.8,-1.2999999999999998,0.30000000000000004,548.8,418.2841499751928
0,0.0,31.5,61.7,0.734,18.5,1680,6173.4,8.6,11.6,538.8,446.2924400998813
0,0.0,31.5,69.7,0.8,23.1,1760,6171.5,15.9,19.3,522.9,588.2079227001636
0,0.0,40.4,64.7,0.667,23.5,1800,6171.2,19.1,22.0,502.1,743.3049030749996
0,0.0,26.8,27.3,0.0,16.8,1890,6171.8,19.1,15.9,500.9,716.5666323000008
0,0.0,16.0,17.5,0.05,15.9,1770,6172.599999999999,13.4,4.4,517.7,636.6915887251137
0,0.0,1.4000000000000001,1.4000000000000001,0.0,16.4,1680,6172.6,6.8,-6.4,535.7,575.6658267255401
0,0.0,0.0,0.0,0.0,14.1,1740,6176.9,0.4,-11.2,556.4,1248.6785808993513
0,0.0,0.0,0.0,0.0,12.3,1700,6178.3,1.3,-12.1,553.0,856.4306716746157
0,0.0,0.0,0.0,0.0,13.4,1670,6177.0,-6.0,-24.7,557.9,650.7827693500017
0,0.0,0.0,0.0,0.0,13.0,1720,6178.5,-9.0,-26.5,560.1,1317.2143695503846
0,0.0,0.0,0.0,0.0,19.6,1710,6178.7,-14.2,-21.2,560.8,1054.3337018747536
0,0.0,0.0,0.0,0.0,14.3,1670,6179.4,-8.6,-16.2,552.8,773.0138413247685
0,0.0,0.0,0.0,0.0,17.1,1640,6176.4,-6.7,-13.799999999999999,542.2,896.7837614750208
0,0.0,0.0,0.0,0.0,15.9,1680,6175.3,-8.2,-13.7,548.0,792.4022840254563
0,0.0,0.0,0.0,0.0,17.7,1620,6174.4,-5.5,-11.3,548.6,500.95637992464486
0,0.0,0.0,0.0,0.0,17.5,1580,6174.299999999999,-6.3,-14.7,553.3,480.6020006001713
0,0.0,0.0,0.0,0.0,21.3,1610,6172.8,-7.3,-15.0,556.1,354.39323955051776
0,0.0,0.0,0.0,0.0,17.5,1570,6170.4,-5.1,-9.8,564.1,343.75657719952784
0,0.0,0.0,0.0,0.0,19.6,1590,6166.7,-0.2,-2.6,563.7,316.4956827751977
0,0.0,0.0,0.0,0.0,22.700000000000003,1610,6163.0,4.2,0.7,561.2,318.9780342995758
19,0.0,0.0,0.0,0.0,30.0,1660,6161.400000000001,7.2,2.6,553.8,366.71833902498435
4,0.03,0.0,0.0,0.0,26.1,1610,6159.2,8.7,5.0,556.1,369.9869418004621
30,0.03,2.4,2.4,0.0,33.1,1630,6157.400000000001,12.1,9.4,566.3,551.7698567748537
17,0.07,7.6000000000000005,7.6000000000000005,0.0,42.0,1660,6153.8,14.7,12.5,574.0,1775.1390948750013
52,0.23,9.2,9.2,0.0,43.6,1670,6149.6,16.7,14.399999999999999,571.0,1088.9846133995886
39,0.0,9.2,9.2,0.0,41.1,1620,6142.8,18.3,15.8,566.7,837.9185348755695
60,0.26,7.6,7.6,0.0,47.4,1650,6135.6,19.3,16.8,566.8,1030.8905837501923
58,0.23,4.7,4.7,0.0,46.5,1680,6134.2,20.2,17.6,568.4,823.5406433497585
22,0.0,1.5,1.5,0.0,45.5,1690,6131.8,22.0,19.3,568.3,833.2416310748696
48,0.03,0.0,0.0,0.0,43.8,1690,6130.7,23.099999999999998,20.5,572.9,686.6745137744059
40,0.0,0.0,0.0,0.0,40.8,1710,6127.8,24.599999999999998,22.2,575.2,773.7226121258657
48,0.09,0.0,0.0,0.0,44.3,1720,6127.1,25.8,23.799999999999997,578.3,853.4821288245948
60,0.1,0.0,0.0,0.0,40.0,1740,6126.5,28.7,26.6,578.7,838.5587048253028
